,id,abstract,keys,#tokens,#keys
0,2,Waiting for the wave to crest wavelength services Wavelength services have been hyped ad nauseam for years. But despite their quick turn-up time and impressive margins such services have yet to live up to the industry's expectations. The reasons for this lukewarm reception are many not the least of which is the confusion that still surrounds the technology but most industry observers are still convinced that wavelength services with ultimately flourish,"['wavelength services', 'fiber optic networks', 'Looking Glass Networks', 'PointEast Research', 'optical fibre networks', 'telecommunication']",71,6
1,3,NuVox shows staying power with new cash new market Who says you can't raise cash in today's telecom market NuVox Communications positions itself for the long run with 78.5 million in funding and a new credit facility,"['telecom', 'competitive carrier market', 'NuVox Communications', 'investors', 'telecommunication']",37,5
2,4,Industry insiders loading up on cheap company stock A surge of telecom executives and directors purchasing their own companies stock in the last two months points toward a renewed optimism in the beleaguered sector say some observers who view the rash of insider buying as a vote of confidence from management. Airgate PCS Charter Communications Cox Communications Crown Castle International Nextel Communications and Nortel Networks all have seen infusions of insider investment this summer echoing trends in both the telecom industry and the national economy,"['telecom industry', 'insider investment', 'telecommunication']",85,3
3,6,SBC gets more serious on regulatory compliance With one eye on the past and the other on its future SBC Communications last week created a unit it hopes will bring a cohesiveness and efficiency to its regulatory compliance efforts that previously had been lacking. The carrier also hopes the new regulatory compliance unit will help it accomplish its short-term goal of landing FCC approval. to provide long-distance service throughout its region and its longer-term goal of reducing the regulatory burdens under which it and currently operate,"['SBC Communications', 'regulatory compliance', 'telecom carrier', 'telecommunication']",86,4
4,7,Anti-spam suit attempts to hold carriers accountable A lawsuit alleges that Sprint has violated Utah's new anti-spam act. The action could open the door to new regulations on telecom service providers,"['Sprint', 'telecom service providers', 'regulations', 'anti-spam act', 'lawsuit', 'electronic mail', 'legislation', 'telecommunication']",31,8
5,8,New investors get steal of a deal Global Crossing Hutchison Telecommunications and Singapore Technologies take control of Global Crossing for a lot less money than they originally offered. The deal leaves the bankrupt carrier intact but doesn't put it in the clear just yet,"['Hutchison Telecommunications', 'Singapore Technologies', 'Global Crossing', 'bankrupt', 'telecommunication']",44,5
6,9,Achieving competitive capabilities in e-services What implications does the Internet have for service operations strategy How can business performance of e-service companies be improved in today's knowledge-based economy These research questions are the subject of the paper. We propose a model that links the e-service company's knowledge-based competencies with their competitive capabilities. Drawing from the current literature our analysis suggests that services that strategically build a portfolio of knowledge-based competencies namely human capital structural capital and absorptive capacity have more operations-based options than their counterparts who are less apt to invest. We assume that the combinative capabilities of service quality delivery flexibility and cost are determined by the investment in intellectual capital. Arguably with the advent of the Internet different operating models e.g. bricks-and-mortar clicks-and-mortar or pure dot-com have different strategic imperatives in terms of knowledge-based competencies. Thus the new e-operations paradigm can be viewed as a configuration of knowledge-based competencies and capabilities,"['competitive capabilities', 'e-services', 'Internet', 'service operations strategy', 'business performance', 'knowledge-based economy', 'knowledge-based competencies', 'human capital', 'structural capital', 'absorptive capacity', 'operations-based options', 'combinative capabilities', 'service quality', 'delivery', 'flexibility', 'cost', 'investment', 'intellectual capital', 'bricks-and-mortar', 'clicks-and-mortar', 'dot-com', 'strategic imperatives', 'corporate modelling', 'electronic commerce', 'Internet', 'technological forecasting']",153,26
7,11,Does social capital determine innovation To what extent This paper deals with two questions Does social capital determine innovation in manufacturing firms If it is the case to what extent To deal with these questions we review the literature on innovation in order to see how social capital came to be added to the other forms of capital as an explanatory variable of innovation. In doing so we have been led to follow the dominating view of the literature on social capital and innovation which claims that social capital cannot be captured through a single indicator but that it actually takes many different forms that must be accounted for. Therefore to the traditional explanatory variables of innovation we have added five forms of structural social capital business network assets information network assets research network assets participation assets and relational assets and one form of cognitive social capital reciprocal trust). In a context where empirical investigations regarding the relations between social capital and innovation are still scanty this paper makes contributions to the advancement of knowledge in providing new evidence regarding the impact and the extent of social capital on innovation at the two decisionmaking stages considered in this study,"['innovation', 'manufacturing firms', 'business network assets', 'information network assets', 'research network assets', 'participation assets', 'relational assets', 'cognitive social capital', 'structural social capital', 'reciprocal trust', 'two-stage decision-making process', 'degree of radicalness', 'corporate modelling', 'decision theory', 'manufacturing industries', 'technological forecasting']",199,16
8,12,National learning systems a new approach on technological change in late industrializing economies and evidences from the cases of Brazil and South Korea The paper has two intertwined parts. The first one is a proposal for a conceptual and theoretical framework to understand technical change in late industrializing economies. The second part develops a kind of empirical test of the usefulness of that new framework by means of a comparative study of the Brazilian and South Korean cases. All the four types of macroevidences of the technical change processes of Brazil and Korea corroborate directly or indirectly the hypothesis of the existence of actual cases of national learning systems NLSs of passive and active nature as it is shown to be the cases of Brazil and South Korea respectively. The contrast between the two processes of technical change prove remarkable despite both processes being essentially confined to learning. The concepts of passive and active NLSs show how useful they are to apprehend the diversity of those realities and consequently to avoid for instance interpretations that misleadingly suppose based on conventional economic theory that those countries have a similar lack of technological dynamism,"['national learning systems', 'technological change', 'late industrializing economies', 'Brazil', 'South Korea', 'national innovation system', 'economic cybernetics', 'technological forecasting']",192,8
9,13,Stability analysis of the characteristic polynomials whose coefficients are polynomials of interval parameters using monotonicity We analyze the stability of the characteristic polynomials whose coefficients are polynomials of interval parameters via monotonicity methods. Our stability conditions are based on Frazer-Duncan's theorem and all conditions can be checked using only endpoint values of interval parameters. These stability conditions are necessary and sufficient under the monotonicity assumptions. When the monotonicity conditions do not hold on the whole parameter region we present an interval division method and a transformation algorithm in order to apply the monotonicity conditions. Then our stability analysis methods can be applied to all characteristic polynomials whose coefficients are polynomials of interval parameters,"['stability analysis', 'characteristic polynomials', 'interval parameters', 'monotonicity', 'Frazer-Duncan theorem', 'endpoint values', 'necessary and sufficient conditions', 'interval division method', 'transformation algorithm', 'polynomials', 'stability']",113,11
10,14,Application of hybrid models for prediction and optimization of enzyme fermentation process. A comparative study The paper presents a comparison of the biotechnological process prediction and optimization results obtained by using different structure hybrid mathematical models for modeling of the same bioprocess. The hybrid models under investigation consist of the product mass balance equation in which different means  an artificial neural network fuzzy-neural network and cell age distribution based calculation scheme  are incorporated for modeling the specific biosynthesis rate of a desired product. Experimental data from alpha amylase laboratory and industrial fermentation processes are used for model parameter identification and the process prediction tests,"['mathematical models', 'bioprocess', 'hybrid models', 'product mass balance equation', 'fuzzy-neural network', 'cell age distribution', 'biosynthesis rate', 'enzyme fermentation', 'industrial processes', 'optimization', 'identification', 'biocontrol', 'fermentation', 'fuzzy neural nets', 'identification', 'optimisation', 'process control', 'proteins']",104,18
