,id,abstract,keys,#tokens,#keys
0,1,The main result of this paper is an explicit disperser for two independent sources on n bits each of entropy k = n o(1 . Put differently setting N = 2 n and K = 2 k  we construct explicit N × N Boolean matrices for which no K × K sub-matrix is monochromatic. Viewed as adjacency matrices of bipartite graphs this gives an explicit construction of K-Ramsey bipartite graphs of size N . This greatly improves the previous bound of k = o(n of Barak Kindler Shaltiel Sudakov and Wigderson 4]. It also significantly improves the 25-year record of k =  O(n on the special case of Ramsey graphs due to Frankl and Wilson 9]. The construction uses besides classical extractor ideas almost all of the machinery developed in the last couple of years for extraction from independent sources including · Bourgain's extractor for 2 independent sources of some entropy rate lt 1/2 5 · Raz's extractor for 2 independent sources one of which has any entropy rate gt 1/2 18 Supported by a Princeton University startup grant. Most of this work was done while the author was visiting Princeton University and the Institute for Advanced Study. Supported in part by an MCD fellowship from UT Austin and NSF Grant CCR-0310960. This research was supported by the United States-Israel Binational Science Foundation BSF grant 2004329. §This research was supported by NSF Grant CCR-0324906. Permission to make digital or hard copies of all or part of this work for personal or classroom use is granted without fee provided that copies are not made or distributed for profit or commercial advantage and that copies bear this notice and the full citation on the first page. To copy otherwise to republish to post on servers or to redistribute to lists requires prior specific permission and/or a fee. STOC'06 May 21­23 2006 Seattle Washington USA. Copyright 2006 ACM 1-59593-134-1/06/0005 ...  5.00. · Rao's extractor for 2 independent block-sources of entropy n 1 17 · The Challenge-Response mechanism for detecting entropy concentration of 4]. The main novelty comes in a bootstrap procedure which allows the Challenge-Response mechanism of 4 to be used with sources of less and less entropy using recursive calls to itself. Subtleties arise since the success of this mechanism depends on restricting the given sources and so recursion constantly changes the original sources. These are resolved via a new construct in between a disperser and an extractor which behaves like an extractor on sufficiently large subsources of the given ones. This version is only an extended abstract please see the full version available on the authors homepages for more details.,"['tools', 'Theorem', 'construction of disperser', 'disperser', 'independent source', 'randomness extraction', 'termination', 'extractors', 'polynomial time computable disperser', 'structure', 'distribution', 'Ramsey Graphs', 'explicit disperser', 'deficiency', 'block-sources', 'Extractors', 'entropy', 'Independent Sources', 'Ramsey graph', 'sum-product theorem', 'subsource somewhere extractor', 'bipartite graph', 'subsource', 'recursion', 'Dispersers', 'independent sources', 'Ramsey graphs', 'algorithms', 'resiliency', 'extractor']",439,30
1,2,This paper shows the importance that management plays in the protection of information and in the planning to handle a security breach when a theft of information happens. Recent thefts of information that have hit major companies have caused concern. These thefts were caused by companies inability to determine risks associated with the protection of their data and these companies lack of planning to properly manage a security breach when it occurs. It is becoming necessary if not mandatory for organizations to perform ongoing risk analysis to protect their systems. Organizations need to realize that the theft of information is a management issue as well as a technology one and that these recent security breaches were mainly caused by business decisions by management and not a lack of technology.,"['privacy', 'security breach', 'encryption', 'risk analysis', 'business practises and policy', 'information system', 'incident response plan', 'management issue', 'information security', 'data protection procedure', 'Information Security Management', 'data protection', 'cases of information theft', 'cyber crime', 'Security Management', 'human factor', 'confidential information', 'personal information', 'Information Security', 'theft of information']",129,20
2,3,We present a foundation for a computational meta-theory of languages with bindings implemented in a computer-aided formal reasoning environment. Our theory provides the ability to reason abstractly about operators languages open-ended languages classes of languages etc. The theory is based on the ideas of higher-order abstract syntax with an appropriate induction principle parameterized over the language i.e. a set of operators being used. In our approach  both the bound and free variables are treated uniformly and this uniform treatment extends naturally to variable-length bindings . The implementation is reflective namely there is a natural mapping between the meta-language of the theorem-prover and the object language of our theory. The object language substitution operation is mapped to the meta-language substitution and does not need to be defined recursively. Our approach does not require designing a custom type theory in this paper we describe the implementation of this foundational theory within a general-purpose type theory. This work is fully implemented in the MetaPRL theorem prover using the pre-existing NuPRL-like Martin-L¨of-style computational type theory. Based on this implementation we lay out an outline for a framework for programming language experimentation and exploration as well as a general reflective reasoning framework. This paper also includes a short survey of the existing approaches to syntactic reflection.,"['Reflection', 'Substitution', 'Higher-Order Abstract Syntax', 'Runtime code generation', 'Theory of syntax', 'system reflection', 'Type Theory', 'HOAS-style operations', 'programming language', 'Meta-syntax', 'NuPRL', 'Meta-reasoning', 'Recursive definition', 'uniform reflection framework', 'Reflective reasoning', 'higher-order abstract syntax', 'formal languages', 'Uniform reflection framework', 'MetaPRL', 'High order abstract syntax', 'Bruijn-style operations', 'Languages with Bindings', 'Programming Language Experimentation', 'formal definition and theory', 'Theorem prover', 'MetaPRL theorem prover', 'Meta-language', 'NuPRL-like Martin-Lof-style computational type theory', 'Languages with bindings', 'computer aided reasoning']",211,30
3,4,Database security has paramount importance in industrial civilian and government domains. Despite its importance our search reveals that only a small number of database security courses are being offered. In this paper we share our experience in developing and offering an undergraduate elective course on database security with limited resources. We believe that database security should be considered in its entirety rather than being component specific. Therefore  we emphasize that students develop and implement a database security plan for a typical real world application . In addition to the key theoretical concepts students obtain hands-on experience with two popular database systems . We encourage students to learn independently making use of the documentation and technical resources freely available on the Internet. This way our hope is that they will be able to adapt to emerging systems and application scenarios.,"['Laboratory/Active Learning', 'Access Privilege System', 'Database Security Education', 'Database system', 'Database security plan', 'Statistical Database Security', 'Database Security Plan', 'Hands-on experience', 'Assignments', 'Undergraduate students', 'Topics', 'Real Life Database Security', 'Undergraduate course', 'MySQL Security', 'Hands-on', 'Data access', 'Statistical Security', 'High Risk of Sensitive Information', 'Oracle Security', 'Importance of Database Security', 'Security breaches', 'Right Blend of Theory and Practice', 'Database Privacy', 'Cryptography', 'Database security course', 'Administrators', 'Secure information', 'Database Security Course', 'Few Database Security Courses', 'Database security', 'Undergraduate Database Security Course', 'Security Plan', 'Privacy Issues', 'XML Security', 'Real Life Databases Hands-on', 'Database Security', 'Labs']",139,37
4,5,"Emerging technologies are set to provide further provisions for computing in times when the limits of current technology of microelectronics become an ever closer presence. A technology roadmap document lists biologically-inspired computing and quantum computing as two emerging technology vectors for novel computing architectures A href=""5.html#12"">[43]. But the potential benefits that will come from entering the nanoelectronics era and from exploring novel nanotechnologies are foreseen to come at the cost of increased sensitivity to influences from the surrounding environment. This paper elaborates on a dependability perspective over these two emerging technology vectors from a designer's standpoint. Maintaining or increasing the dependability of unconventional computational processes is discussed in two different contexts one of a bio-inspired computing architecture the Embryonics project and another of a quantum computational architecture the QUERIST project).","['bio-inspired digital design', 'Computing architecture', 'Soft errors', 'Failure rate', 'Fault tolerance', 'QUERIST', 'Bio-computing', 'Dependability', 'fault-tolerance assessment', 'Digital devices', 'Reliability', 'environment', 'Emerging technologies', 'System design', 'Nano computing', 'emerging technologies', 'Embryonics', 'reliability', 'Self repair', 'Computer system', 'Error detection', 'Correction techniques', 'Computing technology', 'Self replication', 'Dependable system', 'Bio-inspired computing', 'Nanoelectronics', 'bio-inspired computing', 'quantum computing', 'Computing system', 'Quantum computing', 'evolvable hardware']",130,32
5,6,We present Repo-3D a general-purpose object-oriented library for developing distributed interactive 3D graphics applications across a range of heterogeneous workstations. Repo-3D is designed to make it easy for programmers to rapidly build prototypes using a familiar multi-threaded object-oriented programming paradigm. All data sharing of both graphical and non-graphical data is done via general-purpose remote and replicated objects presenting the illusion of a single distributed shared memory. Graphical objects are directly distributed circumventing the duplicate database problem and allowing programmers to focus on the application details. Repo-3D is embedded in Repo an interpreted lexically-scoped distributed programming language allowing entire applications to be rapidly prototyped. We discuss Repo-3D's design and introduce the notion of local variations to the graphical objects which allow local changes to be applied to shared graphical structures. Local variations are needed to support transient local changes such as highlighting and responsive local editing operations. Finally we discuss how our approach could be applied using other programming languages such as Java.,"['Distributed applications', 'local variations', 'Distributed processes', 'Prototyping', 'prototype', 'Programming language', 'programming language', 'Client-Server', 'Repo-3D', '3D Graphics', 'Multi-user interaction', 'distributed virtual environments', 'Shared memory', 'data distribution', 'Syncronisation', 'Object representation', '3D graphics library', 'Client-server approach', 'Local variation', 'distributed shared memory', '3D graphics application', 'shared-data object model', 'Object oriented', 'Heterogeneous workstation', 'Library', 'Data structures', 'Callbacks', 'object-oriented graphics', 'Graphical objects', 'Programming', 'multi-threaded programming', 'Interactive graphical application', 'Java', 'Data sharing', 'Object-oriented', 'duplicate database', 'Distributed graphics', 'Distributed systems', 'Properties', 'Replicated object', 'Change notification', 'object-oriented library', '3D graphics']",162,43
6,7,mechanisms and algorithms necessary to set up and maintain them. The operation of a scatternet requires some Bluetooth units to be inter-piconet units gateways which need to time-division multiplex their presence among their piconets. This requires a scatternet-scheduling algorithm that can schedule the presence of these units in an efficient manner. In this paper we propose a distributed scatternet-scheduling scheme that is implemented using the HOLD mode of Bluetooth and adapts to non-uniform and changing traffic. Another attribute of the scheme is that it results in fair allocation of bandwidth to each Bluetooth unit. This scheme provides an integrated solution for both intra-and inter-piconet scheduling i.e. for polling of slaves and scheduling of gateways.,"['Information exchange', 'Scatternets', 'Traffic Dependent Scheduling', 'Allocation of bandwidth', 'polling algorithm', 'Scheduling algorithm', 'HOLD mode', 'Piconet', 'Round Robin', 'scheduling', 'Time-division multiplex', 'traffic rate', 'Scatternet presence fraction', 'Non-uniform traffic', 'Slaves', 'gateway', 'Gateway slave traffic', 'traffic adaptive', 'virtual slave', 'Slave unit', 'Scatternet', 'Bluetooth', 'Distributed algorithm', 'Blueooth', 'scatternets', 'scheduling scheme', 'slave', 'Bluetooth technology', 'Fairness', 'Efficiency', 'Gateway', 'Rendezvous Points', 'changing traffic', 'Round Robin polling', 'scatternet', 'piconet', 'allocation of bandwidth', 'Master unit', 'Rendezvous point', 'bandwidth utilization', 'Scheduling of gateways', 'fairness', 'Non-gateway slave traffic', 'fair share', 'heuristic', 'Fair share', 'Piconet presence fraction', 'Rendezvous Point', 'master']",114,49
7,8,In this paper we present a simple but general 3D slicer for voxelizing polygonal model. Instead of voxelizing a model by projecting and rasterizing triangles with clipping planes the distance field is used for more accurate and stable voxelization. Distance transform is used with triangles on voxels of each slice. A voxel is marked with opacity only when the shortest distance between it and triangles is judged as intersection. With advanced programmable graphics hardware assistance surface and solid voxelization are feasible and more efficient than on a CPU.,"['GPU', 'object representation', 'Computational Geometry', 'Voxelization', 'Rendering cost', 'pixel shader', 'Polygonal model', 'triangles', 'Modeling', 'hausdorff distance', 'polygonal objects', 'volumetric representation', 'Object representation', 'infinitude', 'rendering', 'opacity', 'Surface voxelization', 'distance transform', 'Rendering', 'slice-based approach', 'geometric representation', 'Surface representation', 'adaptive dense voxelization', 'voxelization', 'Volumetric representation', 'Graphics hardware', 'Hausdorff distance', 'distance field', 'local distance field', 'Hausforff distance', 'GPU-based 3D slicer approach', '3D modelling', 'rasterization', 'Distance field', 'Rendering pipeline', 'Computer Graphics', '3D slicer', 'GPU computation', 'polygonal model', 'volume construction', 'Polygonal object']",88,41
8,9,This paper presents a CORBA-compliant middleware architecture that is more flexible and extensible compared to standard CORBA. The portable design of this architecture is easily integrated in any standard CORBA middleware for this purpose mainly the handling of object references IORs has to be changed. To encapsulate those changes we introduce the concept of a generic reference manager with portable profile managers. Profile managers are pluggable and in extreme can be downloaded on demand. To illustrate the use of this approach we present a profile manager implementation for fragmented objects and another one for bridging CORBA to the Jini world. The first profile manager supports truly distributed objects which allow seamless integration of partitioning  scalability fault tolerance end-to-end quality of service and many more implementation aspects into a distributed object without losing distribution and location transparency. The second profile manager illustrates how our architecture enables fully transparent access from CORBA applications to services on non-CORBA platforms,"['Flexible and extensible object middleware', 'Fault tolerant CORBA', 'Profile manager', 'extensibility', 'Middleware systems', 'Middleware', 'profile manager', 'IIOP', 'Object references', 'extensible and reconfigurable middleware', 'Middleware architecture', 'encapsulation', 'middleware architecture', 'Extensibility', 'Flexibility', 'Interoperability', 'integration', 'object oriented', 'implementation', 'IOR', 'Middleware platform', 'Ubiquitous computing', 'Distiributed applications', 'Extensions', 'Software architecture for middleware', 'Remote object', 'CORBA', 'middleware interoperability', 'Reference manager', 'distributed objects']",156,30
9,10,This paper reports on theoretical investigations about the assumptions underlying the inverse document frequency idf . We show that an intuitive idf based probability function for the probability of a term being informative assumes disjoint document events. By assuming documents to be independent rather than disjoint we arrive at a Poisson-based probability of being informative. The framework is useful for understanding and deciding the parameter estimation and combination in probabilistic retrieval models.,"['Noise probability', 'Information theory', 'information search', 'Assumptions', 'Poisson-based probability of being informative', 'inverse document frequency (idf)', 'Frequency-based probability', 'Collection space', 'Poisson based probability', 'relevance-based ranking of retrieved objects', 'document retrieval', 'Document frequency', 'Independent documents', 'entropy', 'inverse document frequency', 'probabilistic retrieval models', 'independence assumption', 'Document space', 'Term frequency', 'frequency-based term noise probability', 'Probabilistic information retrieval', 'computer science', 'independent and disjoint documents', 'Probability of being informative', 'probability theories', 'maximal informative signal', 'information theory', 'Normalisation', 'Inverse document frequency', 'Poisson distribution', 'Disjoint documents']",72,31
